id_participante,faixa_etaria,faixa_etaria_descricao,sexo,sexo_descricao,cor_raca,cor_raca_descricao,estado_civil,estado_civil_descricao,nacionalidade,nacionalidade_descricao,st_conclusao,st_conclusao_descricao
3231,16,Entre 51 e 55,F,Feminino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3232,5,20,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3233,11,Entre 26 e 30,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3234,5,20,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3235,7,22,M,Masculino,4,Amarela,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3236,15,Entre 46 e 50,M,Masculino,0,Nao declarado,0,Nao informado,2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3237,5,20,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3238,2,17,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3239,11,Entre 26 e 30,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3240,13,Entre 36 e 40,F,Feminino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3241,15,Entre 46 e 50,F,Feminino,5,Indigena,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3242,5,20,F,Feminino,2,Preta,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3243,4,19,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3244,12,Entre 31 e 35,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
3245,16,Entre 51 e 55,F,Feminino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3246,5,20,F,Feminino,0,Nao declarado,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3247,9,24,M,Masculino,3,Parda,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3248,4,19,M,Masculino,3,Parda,4,Viuvo(a),0,Nao informado,2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
