id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
6460,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6461,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,8,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6462,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,6,,K,"De R$ 8.484,01 ate R$ 9.696,00"
6463,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",10,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6464,A,Nunca estudou,G,Completou a Pos-graduacao,2,,A,Nenhuma Renda
6465,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,1,,B,"Ate R$ 1.212,00"
6466,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6467,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,4,,B,"Ate R$ 1.212,00"
6468,B,Nao completou a 4 serie/5 ano,E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6469,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",3,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6470,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6471,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",10,,A,Nenhuma Renda
6472,E,"Completou o Ensino Medio, mas nao completou a Faculdade",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",3,,J,"De R$ 7.272,01 ate R$ 8.484,00"
6473,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,10,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6474,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",B,Nao completou a 4 serie/5 ano,8,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6475,A,Nunca estudou,A,Nunca estudou,1,,P,"De R$ 18.180,01 ate R$ 24.240,00"
6476,H,Nao sei,H,Nao sei,15,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6477,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",9,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6478,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,12,,B,"Ate R$ 1.212,00"
6479,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,4,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6480,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",13,,B,"Ate R$ 1.212,00"
6481,A,Nunca estudou,A,Nunca estudou,1,,B,"Ate R$ 1.212,00"
6482,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,B,"Ate R$ 1.212,00"
6483,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6484,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",14,,B,"Ate R$ 1.212,00"
6485,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",7,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6486,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",3,,K,"De R$ 8.484,01 ate R$ 9.696,00"
6487,B,Nao completou a 4 serie/5 ano,H,Nao sei,3,,A,Nenhuma Renda
6488,H,Nao sei,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",5,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6489,E,"Completou o Ensino Medio, mas nao completou a Faculdade",B,Nao completou a 4 serie/5 ano,6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
6490,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
6491,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",10,,A,Nenhuma Renda
6492,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,Q,"Acima de R$ 24.240,00"
6493,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",2,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6494,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",17,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6495,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",11,,L,"De R$ 9.696,01 ate R$ 10.908,00"
6496,A,Nunca estudou,B,Nao completou a 4 serie/5 ano,7,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6497,H,Nao sei,A,Nunca estudou,3,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6498,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",5,,B,"Ate R$ 1.212,00"
6499,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,12,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6500,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,B,"Ate R$ 1.212,00"
6501,A,Nunca estudou,G,Completou a Pos-graduacao,4,,B,"Ate R$ 1.212,00"
6502,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",3,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6503,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",9,,B,"Ate R$ 1.212,00"
6504,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",3,,K,"De R$ 8.484,01 ate R$ 9.696,00"
6505,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",2,,P,"De R$ 18.180,01 ate R$ 24.240,00"
6506,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",5,,A,Nenhuma Renda
6507,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,4,,N,"De R$ 12.120,01 ate R$ 14.544,00"
6508,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,7,,Q,"Acima de R$ 24.240,00"
6509,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",4,,Q,"Acima de R$ 24.240,00"
6510,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,19,,A,Nenhuma Renda
6511,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,12,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6512,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",2,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6513,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6514,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,8,,J,"De R$ 7.272,01 ate R$ 8.484,00"
6515,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,6,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6516,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",A,Nunca estudou,3,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6517,B,Nao completou a 4 serie/5 ano,E,"Completou o Ensino Medio, mas nao completou a Faculdade",7,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6518,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,6,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6519,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6520,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6521,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",7,,I,"De R$ 6.060,01 ate R$ 7.272,00"
