id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
2987,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",3,,N,"De R$ 12.120,01 ate R$ 14.544,00"
2988,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",10,,E,"De R$ 2.424,01 ate R$ 3.030,00"
2989,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,K,"De R$ 8.484,01 ate R$ 9.696,00"
2990,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
2991,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,F,"De R$ 3.030,01 ate R$ 3.636,00"
2992,H,Nao sei,H,Nao sei,3,,L,"De R$ 9.696,01 ate R$ 10.908,00"
2993,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",11,,E,"De R$ 2.424,01 ate R$ 3.030,00"
2994,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",7,,G,"De R$ 3.636,01 ate R$ 4.848,00"
2995,H,Nao sei,H,Nao sei,7,,H,"De R$ 4.848,01 ate R$ 6.060,00"
2996,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",G,Completou a Pos-graduacao,11,,G,"De R$ 3.636,01 ate R$ 4.848,00"
2997,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,7,,E,"De R$ 2.424,01 ate R$ 3.030,00"
2998,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,8,,C,"De R$ 1.212,01 ate R$ 1.818,00"
2999,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,Q,"Acima de R$ 24.240,00"
3000,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,14,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3001,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,3,,Q,"Acima de R$ 24.240,00"
3002,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,3,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3003,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",15,,E,"De R$ 2.424,01 ate R$ 3.030,00"
3004,H,Nao sei,G,Completou a Pos-graduacao,4,,A,Nenhuma Renda
3005,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,6,,B,"Ate R$ 1.212,00"
3006,G,Completou a Pos-graduacao,H,Nao sei,5,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3007,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",H,Nao sei,3,,A,Nenhuma Renda
3008,A,Nunca estudou,B,Nao completou a 4 serie/5 ano,2,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3009,G,Completou a Pos-graduacao,H,Nao sei,8,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3010,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",3,,I,"De R$ 6.060,01 ate R$ 7.272,00"
3011,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,11,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3012,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",8,,L,"De R$ 9.696,01 ate R$ 10.908,00"
3013,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",3,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3014,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,A,Nenhuma Renda
3015,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,Q,"Acima de R$ 24.240,00"
3016,A,Nunca estudou,B,Nao completou a 4 serie/5 ano,15,,A,Nenhuma Renda
3017,H,Nao sei,H,Nao sei,4,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3018,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3019,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,3,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3020,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",A,Nunca estudou,3,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3021,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,2,,A,Nenhuma Renda
3022,A,Nunca estudou,A,Nunca estudou,4,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3023,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",9,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3024,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",A,Nunca estudou,1,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3025,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",1,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3026,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",3,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3027,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",8,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3028,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,17,,B,"Ate R$ 1.212,00"
3029,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",8,,B,"Ate R$ 1.212,00"
3030,G,Completou a Pos-graduacao,H,Nao sei,3,,B,"Ate R$ 1.212,00"
3031,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",8,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3032,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3033,A,Nunca estudou,B,Nao completou a 4 serie/5 ano,3,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3034,A,Nunca estudou,A,Nunca estudou,9,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3035,A,Nunca estudou,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",10,,B,"Ate R$ 1.212,00"
3036,E,"Completou o Ensino Medio, mas nao completou a Faculdade",A,Nunca estudou,12,,B,"Ate R$ 1.212,00"
3037,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,4,,O,"De R$ 14.544,01 ate R$ 18.180,00"
3038,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",H,Nao sei,2,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3039,G,Completou a Pos-graduacao,H,Nao sei,7,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3040,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3041,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",1,,L,"De R$ 9.696,01 ate R$ 10.908,00"
3042,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3043,A,Nunca estudou,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",9,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3044,H,Nao sei,B,Nao completou a 4 serie/5 ano,5,,Q,"Acima de R$ 24.240,00"
3045,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3046,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",2,,E,"De R$ 2.424,01 ate R$ 3.030,00"
3047,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,7,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3048,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3049,H,Nao sei,H,Nao sei,1,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3050,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",A,Nunca estudou,1,,B,"Ate R$ 1.212,00"
3051,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",12,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3052,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,A,Nenhuma Renda
3053,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,14,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3054,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3055,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",G,Completou a Pos-graduacao,6,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3056,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",7,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3057,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",19,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3058,H,Nao sei,H,Nao sei,11,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3059,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3060,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,E,"De R$ 2.424,01 ate R$ 3.030,00"
3061,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,3,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3062,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",15,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3063,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,11,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3064,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",G,Completou a Pos-graduacao,6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3065,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,7,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3066,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",7,,A,Nenhuma Renda
3067,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,4,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3068,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",9,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3069,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,1,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3070,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",4,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3071,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,5,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3072,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,13,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3073,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",1,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3074,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,11,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3075,B,Nao completou a 4 serie/5 ano,E,"Completou o Ensino Medio, mas nao completou a Faculdade",1,,A,Nenhuma Renda
3076,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,6,,L,"De R$ 9.696,01 ate R$ 10.908,00"
3077,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,3,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3078,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,4,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3079,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,1,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3080,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",8,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3081,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,8,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3082,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",4,,A,Nenhuma Renda
3083,H,Nao sei,G,Completou a Pos-graduacao,7,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3084,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",7,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3085,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",3,,Q,"Acima de R$ 24.240,00"
3086,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,8,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3087,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,B,"Ate R$ 1.212,00"
3088,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,3,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3089,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,11,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3090,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3091,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,17,,B,"Ate R$ 1.212,00"
3092,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",15,,A,Nenhuma Renda
3093,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,1,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3094,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",7,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3095,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3096,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3097,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",B,Nao completou a 4 serie/5 ano,3,,L,"De R$ 9.696,01 ate R$ 10.908,00"
3098,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",9,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3099,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",17,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3100,H,Nao sei,B,Nao completou a 4 serie/5 ano,14,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3101,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3102,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",11,,L,"De R$ 9.696,01 ate R$ 10.908,00"
3103,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",5,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3104,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",11,,I,"De R$ 6.060,01 ate R$ 7.272,00"
3105,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3106,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,6,,I,"De R$ 6.060,01 ate R$ 7.272,00"
3107,E,"Completou o Ensino Medio, mas nao completou a Faculdade",A,Nunca estudou,4,,O,"De R$ 14.544,01 ate R$ 18.180,00"
3108,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",G,Completou a Pos-graduacao,1,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3109,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",H,Nao sei,7,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3110,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",3,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3111,H,Nao sei,G,Completou a Pos-graduacao,2,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3112,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",8,,A,Nenhuma Renda
3113,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",11,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3114,A,Nunca estudou,A,Nunca estudou,5,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3115,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3116,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",8,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3117,A,Nunca estudou,H,Nao sei,1,,A,Nenhuma Renda
3118,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
3119,E,"Completou o Ensino Medio, mas nao completou a Faculdade",A,Nunca estudou,2,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3120,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",9,,A,Nenhuma Renda
3121,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",9,,N,"De R$ 12.120,01 ate R$ 14.544,00"
3122,A,Nunca estudou,A,Nunca estudou,4,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3123,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,20,,Q,"Acima de R$ 24.240,00"
3124,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",14,,B,"Ate R$ 1.212,00"
3125,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,5,,A,Nenhuma Renda
3126,H,Nao sei,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3127,H,Nao sei,A,Nunca estudou,3,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3128,A,Nunca estudou,A,Nunca estudou,18,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3129,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",7,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3130,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",A,Nunca estudou,2,,A,Nenhuma Renda
3131,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",A,Nunca estudou,11,,B,"Ate R$ 1.212,00"
3132,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",1,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3133,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,3,,P,"De R$ 18.180,01 ate R$ 24.240,00"
3134,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,4,,C,"De R$ 1.212,01 ate R$ 1.818,00"
3135,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,B,"Ate R$ 1.212,00"
3136,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",7,,O,"De R$ 14.544,01 ate R$ 18.180,00"
3137,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,10,,A,Nenhuma Renda
3138,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,2,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3139,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",12,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3140,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,K,"De R$ 8.484,01 ate R$ 9.696,00"
3141,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",5,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3142,A,Nunca estudou,H,Nao sei,2,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3143,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",1,,O,"De R$ 14.544,01 ate R$ 18.180,00"
3144,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,6,,J,"De R$ 7.272,01 ate R$ 8.484,00"
3145,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,3,,F,"De R$ 3.030,01 ate R$ 3.636,00"
3146,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",8,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3147,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,7,,E,"De R$ 2.424,01 ate R$ 3.030,00"
3148,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3149,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,5,,Q,"Acima de R$ 24.240,00"
3150,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",9,,I,"De R$ 6.060,01 ate R$ 7.272,00"
3151,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,O,"De R$ 14.544,01 ate R$ 18.180,00"
3152,H,Nao sei,A,Nunca estudou,5,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3153,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",3,,A,Nenhuma Renda
3154,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3155,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",15,,A,Nenhuma Renda
3156,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3157,B,Nao completou a 4 serie/5 ano,H,Nao sei,4,,Q,"Acima de R$ 24.240,00"
3158,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3159,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",11,,E,"De R$ 2.424,01 ate R$ 3.030,00"
3160,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",19,,A,Nenhuma Renda
3161,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",16,,A,Nenhuma Renda
3162,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",8,,I,"De R$ 6.060,01 ate R$ 7.272,00"
3163,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,A,Nenhuma Renda
3164,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,2,,Q,"Acima de R$ 24.240,00"
3165,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",10,,M,"De R$ 10.908,01 ate R$ 12.120,00"
3166,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",10,,G,"De R$ 3.636,01 ate R$ 4.848,00"
3167,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,E,"De R$ 2.424,01 ate R$ 3.030,00"
3168,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,1,,I,"De R$ 6.060,01 ate R$ 7.272,00"
3169,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,H,"De R$ 4.848,01 ate R$ 6.060,00"
3170,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",10,,O,"De R$ 14.544,01 ate R$ 18.180,00"
